"[T]"	"T"	"AB"	"BC"	"CA"	"mA"	"mB"	"mC"	"cAB"	"cBC"	"cCA"	"ABC"	"BCA"	"CAB"	"ABCA"	"BCAB"	"CABC"
28.7	146	979	968	971	0	1	0	0	3	0	0	3	2	0	0	1
28.8	147	968	971	972	1	0	1	1	1	1	0	1	0	2	2	1
28.9	147	967	972	971	2	3	1	0	1	0	0	2	0	2	1	2
29.	145	973	976	965	2	0	1	2	0	0	2	2	1	1	0	1
29.1	143	974	966	965	4	3	0	0	0	1	3	1	0	0	1	0
29.2	144	972	961	974	1	1	1	2	1	0	0	1	5	0	1	1
29.3	146	976	969	975	1	0	1	2	2	2	0	1	2	1	0	1
29.4	146	974	968	973	2	1	0	0	2	0	1	0	1	0	1	1
29.5	147	971	973	970	3	2	0	0	2	0	1	1	0	0	1	0
29.6	144	974	978	975	1	1	1	0	1	1	1	1	0	1	2	0
29.7	144	965	968	969	2	1	1	2	1	3	1	2	3	2	0	2
29.8	137	970	972	976	1	0	1	0	0	2	1	2	1	2	0	0
29.9	139	971	972	970	0	0	1	1	1	1	1	2	2	0	0	1
30.	137	967	967	975	0	2	1	2	2	0	0	2	1	0	1	0
30.1	139	974	973	977	0	1	1	1	2	0	1	0	0	1	1	0
30.2	141	978	970	979	0	1	3	1	0	0	0	0	0	1	1	0
30.3	143	972	971	976	0	1	0	1	2	0	1	1	1	0	0	0
30.4	143	970	973	969	0	0	1	1	0	2	1	1	0	0	0	1
30.5	146	971	971	967	0	0	0	4	1	2	0	2	0	1	2	0
30.6	141	973	967	971	1	1	1	0	0	2	1	0	1	1	0	0
30.7	141	971	971	969	3	1	3	3	2	0	0	0	2	1	0	0
30.8	136	973	965	971	0	3	2	1	1	0	1	1	1	0	0	2
30.9	136	974	971	969	1	1	1	1	0	0	1	0	3	1	1	1
31.	129	969	976	970	2	1	0	0	2	3	1	1	1	1	0	0
31.1	131	974	966	971	3	1	2	0	2	0	0	1	2	0	2	0
31.2	133	963	972	966	2	3	0	0	0	1	2	2	0	0	0	2
31.3	131	978	966	973	0	0	1	1	0	0	1	0	0	0	1	3
31.4	130	975	970	968	0	3	1	0	4	2	0	0	0	3	0	0
31.5	130	968	968	968	1	0	0	1	4	1	1	2	1	1	0	0
31.6	129	971	974	970	0	0	1	0	1	2	0	1	0	3	0	1
31.7	129	965	965	971	1	0	2	0	3	3	0	0	0	1	2	2
31.8	131	976	977	970	0	0	0	0	1	3	2	1	0	1	0	1
31.9	128	975	972	972	2	1	2	1	1	1	1	3	1	1	1	0
32.	128	967	973	978	0	0	1	1	2	0	0	2	1	2	2	1
32.1	129	970	974	970	3	0	1	0	1	1	0	2	0	0	3	0
32.2	129	968	969	981	1	1	1	2	0	2	2	0	0	1	1	1
32.3	129	971	967	969	1	1	0	0	1	0	0	1	2	1	1	0
32.4	134	971	972	969	1	0	2	0	1	2	1	1	1	0	1	1
32.5	135	968	971	973	1	0	2	1	0	1	2	0	1	1	0	1
32.6	143	965	976	970	1	1	2	2	0	2	0	1	0	2	1	0
32.7	142	972	966	973	1	0	1	2	1	0	0	0	4	0	1	0
32.8	146	972	977	973	3	1	0	0	0	1	1	1	0	0	0	1
32.9	147	969	977	971	1	0	0	2	2	0	0	0	0	1	0	0
33.	149	973	974	976	1	2	0	0	1	1	0	0	0	0	0	0
33.1	150	969	973	973	1	0	1	2	1	0	0	1	0	1	0	0
33.2	150	973	970	982	0	0	1	0	1	0	0	0	1	1	1	1
33.3	151	977	972	973	1	0	2	0	1	0	1	1	0	0	0	0
33.4	151	967	969	964	2	4	2	1	3	1	0	1	2	3	2	1
33.5	151	971	978	972	1	0	0	0	3	2	1	1	0	0	2	1
33.6	152	972	976	974	0	2	0	0	0	2	0	0	1	1	0	1
33.7	149	970	973	971	0	0	2	3	0	0	2	3	2	1	0	2
33.8	150	972	972	967	2	0	2	0	0	4	1	2	2	1	1	0
33.9	149	970	974	975	2	1	0	1	1	0	1	2	0	2	0	2
34.	149	969	968	973	1	1	0	1	2	1	1	2	2	1	3	1
34.1	147	971	974	966	1	4	1	0	3	0	0	0	0	1	0	3
34.2	146	967	969	966	3	3	1	1	0	1	3	1	2	1	0	1
34.3	144	970	968	973	0	2	1	2	0	0	0	0	2	1	2	2
34.4	145	964	972	967	1	1	1	1	1	1	3	1	1	1	1	1
34.5	150	967	964	974	0	3	2	2	0	2	0	1	0	1	0	1
34.6	150	970	972	971	2	1	2	2	0	1	1	0	1	2	0	0
34.7	151	964	969	969	2	1	3	1	2	0	1	0	0	1	2	0
34.8	151	975	967	969	0	3	1	0	0	0	1	0	0	1	1	0
34.9	147	978	971	970	0	1	0	1	0	0	0	2	1	1	0	1
35.	145	974	962	977	0	0	0	0	1	1	1	1	1	0	2	1
35.1	146	964	967	967	0	2	1	2	1	0	0	1	0	1	1	0
35.2	143	974	967	972	1	0	2	0	1	1	1	3	0	1	2	1
35.3	143	969	978	971	0	2	2	0	1	0	1	2	1	3	0	0
35.4	146	976	973	967	2	0	0	0	2	0	0	0	0	0	1	1
35.5	149	979	968	968	2	1	1	2	1	1	3	1	2	0	1	2
35.6	148	968	973	978	0	1	1	0	1	2	0	2	1	0	1	0
35.7	152	967	974	970	2	1	2	1	0	0	0	0	0	0	1	2
35.8	154	973	971	974	0	1	1	0	1	1	0	2	1	1	1	2
35.9	160	968	977	974	0	1	0	1	2	2	1	1	1	0	0	1
36.	160	962	968	976	0	1	1	1	1	4	1	1	2	2	1	1
36.1	159	971	971	980	1	1	0	2	0	1	0	1	2	1	2	0
36.2	159	968	969	972	1	2	0	1	0	0	0	0	2	2	0	1
36.3	158	975	967	974	0	0	1	1	0	2	2	1	5	1	0	0
36.4	156	969	972	970	0	0	3	1	0	2	2	2	0	1	1	1
36.5	158	970	970	977	2	1	0	0	0	2	1	0	2	2	0	0
36.6	157	971	969	975	2	1	2	1	1	0	0	1	2	1	1	0
36.7	158	973	974	974	1	0	0	0	0	0	2	1	0	2	0	1
36.8	157	977	968	967	0	2	1	2	1	0	1	1	0	0	0	2
36.9	157	970	975	974	0	1	2	3	1	0	1	1	1	1	1	1
37.	157	971	969	972	2	2	1	1	1	0	0	1	1	0	0	2
37.1	155	967	972	968	0	2	0	1	0	3	1	2	1	1	0	1
37.2	153	968	971	972	0	0	0	1	1	3	2	2	1	1	3	0
